Household_ID;era;n_days;Weather_ID;hdd_raw_day;hdd_p6_day;hdd_normal_day;def_p6;def_normal;env_p6;env_normal;bin;raw_over_normal;p6_over_normal;def_ratio;rank_p6;rank_normal
24611;pre1975;707;sV3mR;3.20565853883525;3.353199308405073;3.840567680106237;3070.93757257037;3517.280812767276;2730.3797369545605;3127.2248404322704;548-730;0.8346835170853116;0.8730999132691544;1.1453442896995518;22.0;23.0
6683113;pre1975;322;ceOxS;2.9318234989648033;2.341712059876041;3.7265776660533123;2144.594128595047;3412.8861183703434;1906.7650234929865;3034.40720689491;<365;0.7867335023423233;0.6283813916472231;1.5913902182536384;34.0;24.0
896968;1976_1990;344;Hg;3.077478113414223;2.4580496113532133;3.7172538605042673;1038.2050088458777;1570.054387552653;1038.2050088458777;1570.054387552653;<365;0.8278902192051917;0.6612541686942426;1.512277800795824;57.0;36.0
9981041;2001_2010;1168;z6I;3.859581931209053;3.583641533156038;3.628140633646451;574.8502017906872;581.9882809372059;574.8502017906876;581.9882809372059;1095+;1.0637906081744115;0.9877350122325084;1.0124172856237734;22.0;22.0
111710;1991_2000;1134;MqO;5.445682271298214;5.056343798791285;5.348647862061662;1812.553210466007;1917.335774586675;1812.5532104660085;1917.335774586675;1095+;1.0181418578562302;0.9453499144440392;1.0578093727211066;7.0;8.0
1027273;2001_2010;682;MqO;4.498153714565005;4.7051817097960305;5.348647862061662;2480.438310491727;2556.705153502302;557.6817887525957;633.9486317631716;548-730;0.8409889434805996;0.879695547573849;1.0307473250546013;2.0;2.0
6981151;pre1975;1059;z6I;3.45481657565929;3.1068494385425267;3.628140633646451;2722.105347677858;3178.8412075769634;2722.105347677858;3178.8412075769634;730-1095;0.9522278556735652;0.8563200140949326;1.1677877236781935;27.0;28.0
876511;1991_2000;412;MqO;3.7272330097087383;2.9770231706938803;5.348647862061662;5345.738542444475;6540.882695500746;1500.2254989662158;2695.3696520224853;365-548;0.6968551876720593;0.5565936003770442;1.2235695112222533;1.0;1.0
7412010;2001_2010;783;MqO;5.349812454883669;4.810982423456537;5.348647862061662;698.1438455288453;776.1669567931041;698.1438455288467;776.1669567931041;730-1095;1.0002177359310318;0.8994763812329423;1.1117579303519551;21.0;20.0
6810910;1976_1990;1238;MqO;5.8000396033808626;5.385366391254283;5.348647862061662;2142.528188237068;2127.9199929704373;1847.2384957144661;1834.643645948854;1095+;1.0843936174076731;1.006865011520588;0.9931817955316373;14.0;16.0
9889190;pre1975;1158;Hg;4.267574046957523;3.962464296153689;3.7172538605042673;3869.5598832392607;3630.0986808603093;3418.708225897023;3207.1472197210937;1095+;1.1480448220931032;1.0659654801235872;0.9381166826190851;14.0;21.0
6808461;post2010;1177;Hg;4.04060881878517;3.7517259227346056;3.7172538605042673;-83.5655875630282;-82.79776011664396;-83.56558756302836;-82.79776011664396;1095+;1.0869875909516273;1.0092735292029966;0.9908116789604917;7.0;7.0
6773102;pre1975;1438;8jB;3.6075248130454938;3.3496052117414057;3.723456018059466;2647.3255328656824;2942.7946172756892;2308.9646028205175;2566.6690855752304;1095+;0.96886462349718;0.8995957506937605;1.1116104085960925;28.0;31.0
4710670;pre1975;1154;Hg;4.089511767513124;3.797132560365018;3.7172538605042673;5230.315141599188;5120.287175303278;4911.154660600751;4807.840740723764;1095+;1.100143256548628;1.0214886318928766;0.9789634155271438;5.0;6.0
716869;1976_1990;1166;sV3mR;4.018784491759266;3.731461923639059;3.840567680106237;1513.8055742772694;1558.0683607415826;1513.805574277269;1558.0683607415826;1095+;1.0464037680096552;0.9715912423487977;1.0292394130504146;32.0;38.0
115508;pre1975;1217;HbsbG;4.068528187631738;3.777649199286665;3.836171410969115;2620.476559236784;2661.072198434175;2446.6308336610746;2484.5333068667283;1095+;1.0605699672330138;0.984744630671322;1.0154917009481719;29.0;34.0
781099;1976_1990;1454;wDD;3.983574447301796;3.698769217550414;4.052917477628678;1520.439381320908;1666.0177966744018;1369.1759448302587;1500.2712498041058;1095+;0.9828905891349523;0.912618931415926;1.0957475958212948;31.0;29.0
105768;pre1975;1158;Hg;3.819199262846987;3.546146019356534;3.7172538605042673;4009.4498885681055;4202.912963940112;3490.4468065103665;3658.867061751678;1095+;1.027424923389249;0.9539692881980029;1.0482517753678915;13.0;13.0
8010411;post2010;1126;z6I;3.732819001467295;3.465941505540664;3.628140633646451;-156.42930509556118;-163.74988360392186;-156.42930509556174;-163.74988360392186;1095+;1.02885179445639;0.9552941452705571;1.0467979992872092;18.0;18.0
7086681;2001_2010;1396;Hg;3.690164932934679;3.4263369850832675;3.7172538605042673;381.86382496500755;414.28638914324495;381.86382496500727;414.28638914324495;1095+;0.9927126506323909;0.9217387656753862;1.0849060897067389;26.0;27.0
868122;1976_1990;1537;Hg;4.067797912364572;3.7769711349717476;3.7172538605042673;2957.9766642520676;2911.2084211241354;2638.577905702543;2596.8596411546073;1095+;1.094301886557931;1.0160648900259341;0.9841891101802327;4.0;6.0
881223;1976_1990;1206;sV3mR;4.162011650683779;3.864449072129786;3.840567680106237;3339.7250567163915;3325.0274294118435;1862.6915575505507;1851.18055909397;1095+;1.083696994129954;1.0062181932497252;0.9955991505124082;3.0;3.0
118708;1991_2000;1395;Hg;3.6916632590514777;3.427728188534334;3.7172538605042673;457.8307089629293;496.5017284750222;457.830708962929;496.5017284750222;1095+;0.993115724022863;0.9221130213768458;1.0844657615905449;20.0;20.0
1037610;post2010;1240;8jB;4.067521353436185;3.7767143485944157;3.723456018059466;-88.30077789762981;-87.05558125798521;-88.30077789762923;-87.05558125798521;1095+;1.0924048340326669;1.0143034670684001;0.9858982370337869;9.0;8.0
6885841;post2010;1288;8jB;3.5361586270141325;3.2833413435600116;3.723456018059466;-93.67949813088171;-106.23674317883116;-93.67949813088208;-106.23674317883116;1095+;0.9496979714177083;0.8817994163581321;1.1340447515037435;10.0;11.0
2794690;1976_1990;1214;8jB;4.143672963971062;3.847421507865424;3.723456018059466;1185.8276205014113;1147.61977103642;1185.827620501411;1147.61977103642;1095+;1.1128566965403819;1.0332931258499367;0.9677795922405352;46.0;58.0
111119;1976_1990;1550;Hg;3.991898639551192;3.706498272563781;3.7172538605042673;1703.8163821141761;1708.760549245703;1703.8163821141763;1708.760549245703;1095+;1.0738837833931707;0.9971065769667323;1.0029018192238486;23.0;25.0
105807;1976_1990;1243;8jB;4.085178180419042;3.7931088026174953;3.723456018059466;1590.196590225079;1560.9958405847244;1392.4358060347827;1366.8665339006168;1095+;1.0971468873554986;1.0187064877952634;0.9816370190831427;29.0;37.0
7374981;post2010;1159;MqO;5.667892173412862;5.262666827681395;5.348647862061662;-139.80445840312223;-142.08857258668604;-139.80445840312305;-142.08857258668604;1095+;1.059686918934339;0.9839247158164708;1.0163379209050518;17.0;17.0
