Household_ID;era;pv;area_m2;kwh_per_day;hdd_per_day;n_days;tier;deficiency;deficiency_lo;deficiency_hi;E_as_built;E_as_built_lo;E_as_built_hi;E_reference;E_reference_lo;E_reference_hi;band;decisive;window;pv_lvl;kwh_yr;implied_appliance;rank_in_era;n_decisive_in_era
120741;1976_1990;False;164.0;28.30462337662338;3.5886236118953514;770;T1;1365.3916616933652;1130.5324798055483;1974.3900766116722;3442.9085346769753;3131.6654140437863;4304.454204918372;2077.51687298361;1915.465631865729;2448.3321984745253;843.8575968061239;True;post_visit;no PV;10331.187532467533;6888.278997790558;20.0;53
114721;1976_1990;False;140.0;30.016128571428574;3.5886236118953514;770;T2;1389.999793677307;830.2327584825663;2191.911963025856;3361.7405340037376;2781.632268492875;4358.9329517037395;1971.7407403264306;1817.3591199148275;2274.572979094096;1361.6792045432899;True;post_visit;no PV;10955.88692857143;7594.146394567692;31.0;53
815461;1976_1990;True;240.0;9.361723684210526;3.3971462306127638;684;T2;1315.1790778315562;680.8297037274211;1985.5602475924081;3733.2003418066174;2927.706816442552;4494.461070534605;2418.021263975061;2103.961060058152;2619.8283124546047;1304.7305438649869;True;post_visit;PV;3417.029144736842;-316.1711970697752;40.0;53
1678757;1976_1990;False;200.0;17.383911492734477;3.820009275745219;757;T2;1356.2946466943831;770.1319791335457;2212.7100133563595;3781.3099309548793;3159.9452924800057;4837.483219139878;2425.015284260496;2234.9054315273333;2812.4882363003403;1442.5780342228138;True;post_visit;no PV;6345.127694848084;2563.8177638932043;36.0;53
971071;1976_1990;False;250.0;31.208876302083336;3.574558612620773;768;T2;1468.21857167599;841.092766912911;2711.73146474507;4105.450815222086;3492.1381452077326;5705.430375277706;2637.232243546096;2436.993609135334;3189.150580625845;1870.6386978321589;True;post_visit;no PV;11391.239850260417;7285.789035038331;30.0;53
121728;post2010;False;455.0;34.70174967405476;3.5674307012074147;767;T1;-116.40698610133313;-426.52728500498813;142.1916204202951;5019.633721862204;4621.210993269329;5833.349624581164;5136.040707963537;4732.621710626204;5993.304034655253;568.7189054252832;False;post_visit;no PV;12666.138631029988;7646.504909167784;;1
114798;pre1975;False;301.0;34.40997058823529;3.3349296888320543;680;T3;4239.705532907403;2130.1919967097597;7334.513638024507;7371.902798254322;5081.467229683558;10588.06907493533;3132.197265346919;2741.4303459563525;3526.7427351310707;5204.3216413147475;True;post_visit;no PV;12559.63926470588;5187.736466451558;12.0;29
1081057;post2010;False;200.0;20.29081389252949;3.5009727239918704;763;T1;-77.11931151711497;-252.0008195499198;100.8796136556175;2750.5000002691186;2489.7483256173728;3112.066798532793;2827.6193117862335;2569.0798257151037;3181.712635955099;352.8804332055373;False;post_visit;no PV;7406.147070773263;4655.647070504145;;1
9776611;post2010;False;180.0;21.87813272010513;3.4741082195433166;761;T1;-77.08035424319223;-256.90545793509733;84.61175658458957;2433.9062128985543;2222.051449757711;2757.5306319117244;2510.9865671417465;2319.8503894109604;2836.4514283700523;341.5172145196869;False;post_visit;no PV;7985.518442838372;5551.612229939818;;1
7411010;post2010;False;260.0;21.341254617414247;3.4735633436579865;758;T1;-111.91328877549859;-384.06454535526706;114.48674216272103;3396.991726765991;3084.5897998325563;3939.0328544008566;3508.90501554149;3200.528422597352;4083.486139676587;498.5512875179881;False;post_visit;no PV;7789.5579353562;4392.566208590209;;1
512280;post2010;False;300.0;28.63069616908851;3.7956862902762625;757;T1;-113.37683668347199;-407.0518235839231;124.41213796364521;3447.1342688260365;3203.1480871074764;4042.034901052993;3560.5111055095085;3306.6855440475156;4158.193190628741;531.4639615475684;False;post_visit;no PV;10450.204101717305;7003.069832891269;;1
7710511;pre1975;False;200.0;53.69702387267904;3.373219832391497;754;T2;3469.7076695624046;2172.661947017903;5849.549296609926;6118.701604367062;4762.486893602154;8729.03543767598;2648.9939348046573;2453.64641717542;3109.749399116076;3676.8873495920234;True;post_visit;no PV;19599.41371352785;13480.712109160788;10.0;29
