Household_ID;era;area;footprint;n_above;has_basement;A_wall;A_roof;huell_b05;huell_sia;H_b05;H_sia;Tbal_b05;Tbal_sia;Pdes_b05;Pdes_sia
808112;1981 - 85;140.0;70.0;2;False;180.71856573136034;70.0;2.040846898081145;1.65;296.8808525850883;253.106;17.642151745709587;17.234360307539134;63.617325553947495;54.237
1019970;> 2010;170.0;70.0;2;True;180.71856573136034;70.0;1.6806974454785903;1.4;151.51545577552648;140.063;14.39001126552202;13.931302342517295;26.73802160744585;24.716999999999995
1148611;1991 - 95;240.0;95.0;3;False;315.79613677181044;95.0;1.9095672365492102;1.65;369.1588752244957;334.89599999999996;16.749367059723955;16.416798050738137;46.144859403061965;41.861999999999995
7048688;1986 - 90;135.0;45.0;3;False;217.34580741297958;45.0;2.109968943799849;1.65;293.74314593038366;244.06650000000002;17.702074042061316;17.234360307539134;65.27625465119637;54.23700000000001
109104;< 1975;200.0;100.0;2;False;216.0;100.0;1.83;2.0;591.6800000000001;637.5799999999999;18.3098972417523;18.43156937168669;88.75200000000001;95.63699999999999
468646;1986 - 90;150.0;60.0;2;True;167.31288055616042;60.0;1.715419203707736;1.65;279.03530444492833;271.185;17.31216807316931;17.234360307539134;55.80706088898567;54.237
1114639;1976 - 80;195.0;65.0;3;False;261.217151044873;65.0;1.8395751335634511;1.65;382.1142208358984;352.5405;17.448406924329777;17.234360307539134;58.78680320552282;54.237
671781;< 1975;180.0;90.0;2;False;204.915592378911;90.0;1.8884199576606167;2.0;546.7080497115298;573.822;18.353783156339322;18.43156937168669;91.11800828525497;95.637
768113;1976 - 80;150.0;75.0;2;False;187.06148721743878;75.0;1.9970765814495917;1.65;312.834189773951;271.185;17.602563835679412;17.234360307539134;62.566837954790195;54.237
122850;2000 - 10;220.0;140.0;1;True;127.78732331495172;140.0;1.5353969241588714;1.4;242.4529293259807;230.53799999999998;15.463036874588397;15.228552342780798;33.06176308990646;31.436999999999998
461104;1991 - 95;210.0;70.0;3;False;271.07784859704054;70.0;1.7908468980811454;1.65;309.3018167283723;293.034;16.605257572987014;16.41679805073814;44.185973818338894;41.862
112810;1991 - 95;180.0;80.0;2;True;193.19627325598185;80.0;1.7399792958665659;1.65;260.07995029079;251.17199999999997;16.539525638198068;16.416798050738137;43.346658381798335;41.861999999999995
610891;2000 - 10;240.0;110.0;2;True;226.54271120475275;110.0;1.6314279633531366;1.4;273.7130844819011;251.49599999999998;15.615847147857675;15.228552342780798;34.21413556023764;31.436999999999998
858577;1981 - 85;180.0;90.0;2;False;204.915592378911;90.0;1.8884199576606167;1.65;359.7544739031288;325.422;17.498293793999228;17.234360307539134;59.9590789838548;54.237
8399121;2000 - 10;168.0;84.0;2;False;197.9672700220923;84.0;1.928376607274359;1.4;211.55410800883692;176.04719999999998;16.029384596186087;15.228552342780798;37.77751928729231;31.436999999999994
108987;2000 - 10;180.0;80.0;2;False;193.19627325598185;80.0;1.7399792958665659;1.4;213.10050930239277;188.62199999999996;15.77664078351457;15.228552342780798;35.516751550398794;31.436999999999994
788488;2000 - 10;250.0;90.0;3;True;307.37338856836647;90.0;1.7694935542734658;1.4;298.92435542734654;261.97499999999997;15.81834006729568;15.228552342780798;35.87092265128159;31.436999999999998
865116;1981 - 85;200.0;100.0;2;False;216.0;100.0;1.83;1.65;390.38;361.58;17.43839336031559;17.234360307539134;58.556999999999995;54.236999999999995
991118;1981 - 85;234.5;93.0;2;True;208.30285643744784;93.0;1.4831678312897565;1.65;392.65483514995833;423.95255;17.01391681691068;17.234360307539134;50.23302795095415;54.236999999999995
816910;1995 - 00;180.0;90.0;2;False;204.915592378911;90.0;1.8884199576606167;1.65;274.7755758084011;251.17199999999997;16.724599712502965;16.416798050738137;45.79592930140018;41.861999999999995
1001228;2000 - 10;170.0;57.0;3;False;244.6146357027723;57.0;1.9418507982516016;1.4;214.9888542811089;178.14299999999997;16.046306666258236;15.228552342780798;37.93920957901921;31.436999999999994
107461;1981 - 85;120.0;60.0;2;False;167.31288055616042;60.0;2.1442740046346698;1.65;264.39830444492827;216.948;17.730696491191097;17.234360307539134;66.09957611123207;54.237
106100;1976 - 80;140.0;60.0;3;False;250.96932083424065;60.0;2.435495148816005;1.65;341.0814566673925;253.106;17.947704320136616;17.234360307539134;73.0888835715841;54.237
5845834;2000 - 10;180.0;75.0;2;True;187.06148721743878;75.0;1.6642304845413265;1.4;207.6465948869755;188.62199999999996;15.665712695698764;15.228552342780798;34.60776581449591;31.436999999999994
