Household_ID;hp_type;hp_install_year;era;unit_age_years;unit_recommendation;term_vintage_kwh;vintage_factor;visit_status;curve_first
781007;ground-source;;1976_1990;;RECORD_INSTALL_YEAR;0.0;1.0;BELOW_PHYSICS;False
761079;ground-source;;1976_1990;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
107998;ground-source;1999.0;1976_1990;25.0;PLAN_REPLACEMENT;;;;False
461089;ground-source;;1976_1990;;RECORD_INSTALL_YEAR;0.0;1.0;BELOW_PHYSICS;False
711368;air-source;;pre1975;;RECORD_INSTALL_YEAR;;;;False
114109;ground-source;;1976_1990;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
107114;ground-source;;1976_1990;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
671048;air-source;;2001_2010;;RECORD_INSTALL_YEAR;0.0;1.0;SLOPE_EXCESS;False
109711;ground-source;;1991_2000;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
7610179;air-source;;1991_2000;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
6569121;air-source;;2001_2010;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
5011111;air-source;;pre1975;;RECORD_INSTALL_YEAR;0.0;1.0;BELOW_PHYSICS;False
5661171;ground-source;;2001_2010;;RECORD_INSTALL_YEAR;0.0;1.0;SLOPE_EXCESS;False
110119;air-source;;2001_2010;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
102766;ground-source;;2001_2010;;RECORD_INSTALL_YEAR;0.0;1.0;SLOPE_EXCESS;False
105900;air-source;;2001_2010;;RECORD_INSTALL_YEAR;0.0;1.0;SLOPE_EXCESS;False
826780;ground-source;;pre1975;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
698310;air-source;;pre1975;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
24611;air-source;2018.0;pre1975;6.0;KEEP_IN_LIFE;0.0;1.0;SLOPE_EXCESS;False
6683113;air-source;;pre1975;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
896968;air-source;;1976_1990;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
9981041;ground-source;;2001_2010;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
111710;ground-source;1992.0;1991_2000;32.0;REPLACE_END_OF_LIFE;866.8828627324133;0.761;SLOPE_EXCESS;True
1027273;air-source;;2001_2010;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
118117;water-source;;1976_1990;;RECORD_INSTALL_YEAR;;;;False
