Household_ID;era;area;footprint;n_above;bsmt;huell;residents;hp_type;emitter;jaz;jaz_derived;H_as_built;H_reference;required_kW_phys;installed_kW;ratio_phys;E_as_built;E_reference;deficiency;term_envelope;term_emitter;term_dhw;kwh_yr;rank_in_era
477661;2000 - 10;230.0;108.0;2;True;1.9243140470702527;4;ground-source;floor_only;4.25;False;289.25389233046326;231.27431009223653;8.677616769913897;9.7;1.117818435314037;5790.747902589137;3389.138009975527;2401.60989261361;478.8533708744796;0.0;1922.7565217391304;10917.550523114354;7.0
8627071;2000 - 10;250.0;150.0;2;False;1.958179568882333;3;ground-source;both;3.7642857142857147;True;317.7929568882333;253.6625760073369;9.533788706646998;16.2;1.6992195336472362;5002.49872598392;2842.1903563823257;2160.308369601594;494.63997859574016;223.60099970150605;1442.0673913043477;29802.074259259258;8.0
108987;2000 - 10;180.0;80.0;2;False;1.7399792958665659;3;air-source;floor_only;3.5;False;213.10050930239274;172.0717975058591;6.393015279071782;8.0;1.2513656937734616;5677.569387252432;3633.6040714794644;2043.9653157729672;601.8979244686195;0.0;1442.0673913043477;11799.694335937502;9.0
876790;2000 - 10;180.0;70.0;3;False;2.0893213810946696;3;air-source;floor_only;3.5;False;238.25313943881622;188.9869412726039;7.147594183164487;6.6;0.9233876225857511;4918.777914847584;2987.1716529460837;1931.6062619015001;489.5388705971521;0.0;1442.0673913043477;14139.375665188472;10.0
6569121;2000 - 10;150.0;65.0;2;True;2.101206394693739;3;air-source;floor_only;3.5;False;199.25738368162433;157.96867802589236;5.977721510448729;;;4895.831071914501;2967.956895912118;1927.8741760023831;485.80678469803604;0.0;1442.0673913043477;9449.071773296244;11.0
8190108;2000 - 10;160.0;65.0;2;True;1.9698809950253804;3;air-source;floor_only;3.5;False;204.13638368162435;162.84767802589238;6.12409151044873;6.1;0.996066108677895;4322.279755216809;2522.0234115982917;1800.256343618517;358.18895231416917;0.0;1442.0673913043477;13853.82377631579;12.0
1228011;2000 - 10;120.0;60.0;2;False;2.1442740046346698;3;air-source;floor_only;3.5;False;161.47315222246417;127.76516486960713;4.844194566673925;10.0;2.064326662020536;3834.6365363472546;2124.679370539161;1709.9571658080936;267.88977450374597;0.0;1442.0673913043477;8008.770243362833;13.0
113115;2000 - 10;305.0;104.0;3;False;1.594808080264959;2;ground-source;floor_only;4.25;False;343.37608579232494;279.6555289453386;10.301282573769747;8.0;0.7766023252648632;5348.708044077332;3710.4033184448567;1638.3047256324749;676.9264647629085;0.0;961.3782608695652;11082.993833333332;14.0
8087988;2000 - 10;198.0;84.0;2;True;1.886157007715229;2;air-source;floor_only;3.5;False;245.98783501104614;197.06469454492853;7.379635050331384;11.0;1.4905886165069968;4825.303292637549;3242.529989400774;1582.773303236775;621.3950423672095;0.0;961.3782608695652;12322.351899224806;15.0
671048;2000 - 10;240.0;80.0;3;False;1.7074767078498865;2;air-source;floor_only;3.5;False;281.0137639535891;227.3306962587887;8.430412918607674;;;3957.727175158305;2565.2191208046825;1392.5080543536224;431.1297934840571;0.0;961.3782608695652;7798.3147120786525;16.0
