Household_ID;era;area_m2;residents;pv_level;n_days;hdd_per_day_raw;meas_kwh_day;pred_heat_kwh_day;pred_dhw_kwh_day;pred_appl_kwh_day;pred_noappl_kwh_day;pred_kwh_day;pred_lo_kwh_day;pred_hi_kwh_day;resid_noappl_kwh_yr;resid_kwh_yr;ratio_meas_pred;inside_band;above_band;band_rel_width
680861;1991_2000;400.0;2;False;543;3.917535871566979;63.00837569060774;11.078635408544582;2.02608695652174;7.838356164383562;13.104722365066321;20.943078529449885;20.0841232590469;24.910734944554783;18214.83346382262;15353.833463822619;3.0085536661673777;False;True;0.23046333320675672
468185;1976_1990;300.0;2;False;1555;3.939773027634093;21.815538263665594;11.499686667308241;4.659999999999999;7.838356164383562;16.15968666730824;23.9980428316918;21.984373289506188;30.568904556199893;2064.3858326704344;-796.6141673295656;0.9090548932122084;False;False;0.35771797420733736
781007;1976_1990;200.0;2;False;1552;3.981930020170327;19.654122422680413;8.77816004484193;2.02608695652174;7.838356164383562;10.80424700136367;18.642603165747232;17.845579708511675;22.36167858518687;3230.204528780611;369.2045287806108;1.0542584770989323;True;False;0.2422461518127895
761079;1976_1990;250.0;2;False;1377;3.765477061033753;28.907378358750908;13.321150348684172;2.02608695652174;7.838356164383562;15.347237305205912;23.185593469589474;21.17200305098771;27.871346226321634;4949.4514845439235;2088.4514845439235;1.2467819034551002;False;True;0.288944218060274
461089;1976_1990;235.0;2;False;1426;3.6829631075065556;21.8788618513324;9.841554281609264;2.02608695652174;7.838356164383562;11.867641238131004;19.705997402514566;18.745417119118894;24.033750951964453;3654.0955238185093;793.0955238185092;1.1102641193152987;True;False;0.26836164264239404
114109;1976_1990;200.0;1;False;1442;3.640544423003478;36.44107420249654;10.031969871897159;1.01304347826087;6.212328767123288;11.04501335015803;17.25734211728132;15.376134058130573;21.493527283794737;9269.562211103555;7002.062211103555;2.1116272688367714;False;True;0.3544806137637077
107114;1976_1990;185.0;2;False;1415;3.646595580478312;31.32114982332156;7.284835193819844;2.02608695652174;7.838356164383562;9.310922150341584;17.149278314725144;15.361101114819009;21.673626180997942;8033.73310063769;5172.733100637691;1.8263829677560137;False;True;0.36809275296201327
671048;2001_2010;240.0;2;Unknown;712;3.208740891141508;21.365245786516855;6.183088151118643;4.66;7.838356164383562;10.843088151118643;18.681444315502205;17.603118466982043;21.945509838068354;3840.5875369203472;979.5875369203474;1.1436613478962963;True;False;0.23244409253105314
109711;1991_2000;160.0;2;True;712;3.184779524914509;17.571543539325845;4.113233272525975;4.66;7.838356164383562;8.773233272525975;16.611589436909536;14.991208755863616;20.47729699949071;3211.3832473819525;350.38324738195246;1.0577882150327753;True;False;0.33025667197369296
7610179;1991_2000;280.0;4;Unknown;1135;5.440884313349933;33.40373127753304;13.59905964721698;9.32;11.09041095890411;22.91905964721698;34.00947060612109;31.422283136399106;41.0350766698274;3826.9051450653624;-221.09485493463853;0.9821890985718834;True;False;0.28265049005785353
6569121;2001_2010;150.0;3;Unknown;719;4.701064884803773;25.887867872044506;6.423235813464387;6.989999999999998;9.464383561643835;13.413235813464386;22.87761937510822;22.359355480917277;26.736441253317714;4553.240701381744;1098.740701381744;1.1315804956616928;True;False;0.19132610350021317
5011111;pre1975;286.0;5;Unknown;1150;5.584448865784499;52.57780521739131;33.322144034325895;5.06521739130435;12.57945205479452;38.387361425630246;50.96681348042477;49.98768217229702;62.48000922617014;5179.5119839927875;588.011983992787;1.031608641524848;True;False;0.2451070844103516
5661171;2001_2010;250.0;4;Unknown;561;3.6620680849414864;50.21064349376114;8.26835286753761;4.052173913043478;11.09041095890411;12.320526780581087;23.4109377394852;23.24779176434874;27.639148258572163;13829.892600310717;9781.892600310719;2.1447514855022316;False;True;0.18757712925001302
110119;2001_2010;130.0;2;Unknown;719;3.147466741246901;19.404724617524337;3.7140447173547275;4.660000000000001;7.838356164383562;8.374044717354728;16.21240088173829;15.27633375295808;19.05499570938668;4026.198163561907;1165.1981635619072;1.1969062916142108;False;True;0.23307232432704653
102766;2001_2010;216.0;2;Unknown;719;4.701064884803773;42.48199443671766;8.531905804198583;4.66;7.838356164383562;13.191905804198583;21.030261968582145;20.000140113893462;25.087841557843056;10690.882350869464;7829.882350869464;2.0200411435760057;False;True;0.24192287530941328
105900;2001_2010;240.0;5;False;537;5.580197082557418;38.21156052141527;10.857180589557391;11.65;12.57945205479452;22.507180589557393;35.086632644351916;34.59975327095662;40.51690825925613;5732.098675128126;1140.5986751281253;1.0890632027512732;True;False;0.16864414001416075
826780;pre1975;150.0;4;True;842;4.069792376673895;13.34161401425178;10.708241026655337;4.05217391304348;11.09041095890411;14.760414939698816;25.850825898602928;22.677763375337893;33.96498592329219;-517.8623377881679;-4565.862337788169;0.5161001070752176;False;False;0.43662908845648524
