Household_ID;era;area;residents;hp_type;emitter;huellzahl;u_as_built;H_as_built;H_reference;T_bal_q_int_5.0;base_used;jaz_as_built;jaz_derived;E_as_built;E_reference;deficiency_kwh_yr;term_envelope;term_emitter;term_dhw;kwh_yr_actual
1027273;2000 - 10;200.0;4;air-source;floor_only;1.4;0.4;209.57999999999998;172.89999999999998;15.228552342780798;15;3.5;False;6781.351138351906;4267.116728671426;2514.23440968048;591.4778879413492;0.0;1922.7565217391304;10092.087837243402
6981151;< 1975;240.0;2;air-source;floor_only;2.0;1.35;765.096;246.216;18.43156937168669;18;3.5;False;14805.382907200508;5266.064909343769;9539.317997856739;9539.317997856737;0.0;0.0;20995.334919735596
876511;1995 - 00;500.0;8;air-source;floor_only;1.65;0.55;697.6999999999999;465.875;16.41679805073814;16;3.5;False;17403.301143474342;10035.822043544971;7367.479099929371;3521.966056451109;0.0;3845.513043478261;17719.577038834952
7412010;2000 - 10;250.0;5;air-source;floor_only;1.4;0.4;261.97499999999997;216.12499999999997;15.228552342780798;15;3.5;False;6720.925215816259;5868.222699174024;852.7025166422354;852.7025166422343;0.0;0.0;12032.318697318005
7101112;> 2010;200.0;3;air-source;both;1.4;0.24000000000000002;164.77999999999997;172.89999999999998;13.931302342517295;14;3.1;False;;;;;;0.0;
6810910;1976 - 80;160.0;2;air-source;both;1.65;0.8;289.264;149.07999999999998;17.234360307539134;17;3.1;False;8651.999170043786;4351.383587270881;4300.615582772904;3834.568892690267;466.0466900826383;0.0;12321.326522617124
9889190;< 1975;200.0;4;ground-source;radiator_only;2.0;1.35;637.5799999999999;205.18;18.43156937168669;18;3.4;True;15596.570378564225;5113.579278510869;10482.991100053358;9574.357149990858;908.6339500624999;0.0;6791.831429188256
6808461;> 2010;207.0;4;ground-source;floor_only;1.4;0.24000000000000002;170.5473;178.95149999999998;13.931302342517295;14;4.25;False;3342.0467136359284;3433.8514610036027;-91.80474736767428;-91.80474736767466;0.0;0.0;5989.272595581989
747511;1991 - 95;168.0;3;air-source;both;1.65;0.55;234.4272;156.534;16.41679805073814;16;3.1;False;;;;;;0.0;
6773102;< 1975;200.0;4;ground-source;radiator_only;2.0;1.35;637.5799999999999;205.18;18.43156937168669;18;3.4;True;13925.217159619402;4683.291937674457;9241.925221944944;8440.863107091547;801.0621148533969;0.0;13134.936957579974
4710670;< 1975;300.0;2;air-source;both;2.0;1.35;956.37;307.77;18.43156937168669;18;3.1;False;22896.35338261636;7054.933148115467;15841.420234500893;15026.52843979315;814.8917947077463;0.0;13775.070901213172
716869;1981 - 85;155.0;2;air-source;floor_only;1.65;0.8;280.22450000000003;144.42125;17.234360307539134;17;3.5;False;5903.550357921294;3400.943092943357;2502.6072649779367;2502.6072649779367;0.0;0.0;6254.067762148336
115508;< 1975;170.0;2;ground-source;both;2.0;1.35;541.943;174.403;18.43156937168669;18;3.7642857142857147;True;11189.642108146727;3718.1429818095676;7471.499126337159;7087.160901475335;384.3382248618232;0.0;9402.179418138043
781099;1981 - 85;150.0;2;ground-source;both;1.65;0.8;271.185;139.7625;17.234360307539134;17;3.7642857142857147;True;5373.18812346325;2854.6826323793525;2518.5054910838976;2245.5815048582313;272.9239862256665;0.0;9132.051729711142
105768;< 1975;294.0;1;ground-source;radiator_only;2.0;1.35;937.2426;301.6146;18.43156937168669;18;3.4;True;19508.760698856277;5297.067227950284;14211.693470905993;12979.866881309723;1231.826589596267;0.0;7652.79109671848
8010411;> 2010;375.0;5;air-source;floor_only;1.4;0.24000000000000002;308.9625;324.1875;13.931302342517295;14;3.5;False;5670.624091127307;5858.955055538072;-188.33096441076486;-188.3309644107656;0.0;0.0;11521.856456483125
