household_id;schema_version;generated_utc;phys_status;phys_status_reason;phys_no_result_reason;phys_no_result_is_fixable;phys_excess_confirmed;phys_era;phys_rank_in_era;phys_n_excess_confirmed_in_era;phys_deficiency_kwh_yr;phys_deficiency_lo_kwh_yr;phys_deficiency_hi_kwh_yr;phys_deficiency_band_kwh_yr;phys_rank_on;phys_deficiency_pct_of_reference;phys_deficiency_pct_lo;phys_deficiency_pct_hi;phys_term_envelope_kwh_yr;phys_term_emitter_kwh_yr;phys_term_dhw_kwh_yr;phys_scenario_capacity_lo_kwh_yr;phys_scenario_capacity_mid_kwh_yr;phys_scenario_capacity_hi_kwh_yr;phys_scenario_never_sum_into_total;phys_context_e_as_built_kwh_yr;phys_context_e_reference_kwh_yr;phys_level_is_not_a_prediction;phys_completeness_tier;phys_jaz_derived;phys_geometry_reconciles;phys_hdd_correction_extrapolated;phys_pv_level;phys_n_meter_days;visit_status;visit_technician_recoverable_kwh;visit_slope_excess_pct;visit_fault_axis_available;visit_fault_probability;visit_named_fault;visit_advisory_night_setback_prob;visit_in_training_set;visit_rank_in_era;visit_never_sum_with_phys_deficiency;setting_fault_flag;setting_fault_name
310610;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;1976_1990;30.0;62.0;1283.0;1030.0;1749.0;719.0;phys_deficiency_lo_kwh_yr;64.4;51.7;87.8;1283.0;0.0;0.0;0.0;0.0;0.0;True;3276.0;1992.0;True;T1;False;True;False;no PV;954.0;SLOPE_EXCESS;287.0;11.3;False;;;;;41.0;True;;
8773113;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;1976_1990;20.0;62.0;1915.0;1267.0;2840.0;1573.0;phys_deficiency_lo_kwh_yr;103.2;68.3;153.2;1543.0;371.0;0.0;0.0;0.0;0.0;True;3769.0;1854.0;True;T2;False;True;False;no PV;457.0;SLOPE_EXCESS;1570.0;46.2;True;0.836;heating limit too high;0.157;True;16.0;True;True;heating limit too high
897731;physical_baseline_v1;2026-09-10T23:31:55Z;HIGH_EXCESS;confirmed excess over code, in the worst 25% of its era by lower bound;;;True;pre1975;6.0;37.0;7435.0;3551.0;12794.0;9244.0;phys_deficiency_lo_kwh_yr;140.2;67.0;241.3;6294.0;1141.0;0.0;0.0;0.0;0.0;True;12738.0;5303.0;True;T2;False;True;True;no PV;212.0;SLOPE_EXCESS;122.0;1.0;False;;;;;15.0;True;;
9073879;physical_baseline_v1;2026-09-10T23:31:55Z;INCOMPLETE_AUDIT;never computed - required building data missing, see phys_no_result_reason;insufficient usable meter days;True;;;;;;;;;phys_deficiency_lo_kwh_yr;;;;;;;;;;True;;;True;;;;False;Unknown;;NOT_ASSESSABLE;;;False;;;;;;True;;
461222;physical_baseline_v1;2026-09-10T23:31:55Z;INCOMPLETE_AUDIT;never computed - required building data missing, see phys_no_result_reason;insufficient usable meter days;True;;;;;;;;;phys_deficiency_lo_kwh_yr;;;;;;;;;;True;;;True;;;;False;Unknown;;NOT_ASSESSABLE;;;False;;;;;;True;;
468665;physical_baseline_v1;2026-09-10T23:31:55Z;INCOMPLETE_AUDIT;never computed - required building data missing, see phys_no_result_reason;insufficient usable meter days;True;;;;;;;;;phys_deficiency_lo_kwh_yr;;;;;;;;;;True;;;True;;;;False;Unknown;;NOT_ASSESSABLE;;;False;;;;;;True;;
1191021;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;pre1975;14.0;37.0;5106.0;2322.0;9899.0;7578.0;phys_deficiency_lo_kwh_yr;124.6;56.6;241.5;4721.0;386.0;0.0;0.0;0.0;0.0;True;9206.0;4099.0;True;T2;False;True;False;no PV;398.0;SLOPE_EXCESS;987.0;12.2;True;0.168;;0.198;True;7.0;True;False;
9097838;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;1976_1990;18.0;62.0;1839.0;1347.0;3024.0;1677.0;phys_deficiency_lo_kwh_yr;55.4;40.6;91.1;1649.0;190.0;0.0;0.0;0.0;0.0;True;5160.0;3321.0;True;T2;True;True;False;PV;944.0;NO_SLOPE_EXCESS;-407.0;-12.3;True;0.735;heating curve too high;0.379;True;;True;True;heating curve too high
112691;physical_baseline_v1;2026-09-10T23:31:55Z;INCOMPLETE_AUDIT;never computed - required building data missing, see phys_no_result_reason;insufficient usable meter days;True;;;;;;;;;phys_deficiency_lo_kwh_yr;;;;;;;;;;True;;;True;;;;False;Unknown;;NOT_ASSESSABLE;;;False;;;;;;True;;
699801;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;1976_1990;62.0;62.0;518.0;143.0;1017.0;874.0;phys_deficiency_lo_kwh_yr;35.6;9.8;69.8;518.0;0.0;0.0;0.0;0.0;0.0;True;1976.0;1458.0;True;T2;False;True;True;PV;247.0;SLOPE_EXCESS;254.0;20.5;True;0.475;;0.384;True;42.0;True;False;
808410;physical_baseline_v1;2026-09-10T23:31:55Z;INCOMPLETE_AUDIT;never computed - required building data missing, see phys_no_result_reason;insufficient usable meter days;True;;;;;;;;;phys_deficiency_lo_kwh_yr;;;;;;;;;;True;;;True;;;;False;Unknown;;NOT_ASSESSABLE;;;False;;;;;;True;;
111901;physical_baseline_v1;2026-09-10T23:31:55Z;INCOMPLETE_AUDIT;never computed - required building data missing, see phys_no_result_reason;insufficient usable meter days;True;;;;;;;;;phys_deficiency_lo_kwh_yr;;;;;;;;;;True;;;True;;;;False;Unknown;;NOT_ASSESSABLE;;;False;;;;;;True;;
7146661;physical_baseline_v1;2026-09-10T23:31:55Z;INCOMPLETE_AUDIT;never computed - required building data missing, see phys_no_result_reason;insufficient usable meter days;True;;;;;;;;;phys_deficiency_lo_kwh_yr;;;;;;;;;;True;;;True;;;;False;Unknown;;NOT_ASSESSABLE;;;False;;;;;;True;;
876790;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;2001_2010;11.0;35.0;1882.0;1578.0;2236.0;659.0;phys_deficiency_lo_kwh_yr;67.3;56.4;79.9;440.0;0.0;1442.0;0.0;0.0;0.0;True;4680.0;2798.0;True;T1;False;True;False;no PV;902.0;SLOPE_EXCESS;1594.0;74.9;True;0.672;heating limit too high;0.004;False;12.0;True;True;heating limit too high
1015877;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;pre1975;18.0;37.0;3706.0;1733.0;7009.0;5277.0;phys_deficiency_lo_kwh_yr;150.9;70.6;285.4;3277.0;429.0;0.0;0.0;0.0;0.0;True;6162.0;2456.0;True;T2;False;True;False;PV;864.0;NO_SLOPE_EXCESS;-832.0;-15.3;True;0.627;heating limit too high;0.212;False;;True;True;heating limit too high
8280779;physical_baseline_v1;2026-09-10T23:31:55Z;INCOMPLETE_AUDIT;never computed - required building data missing, see phys_no_result_reason;insufficient usable meter days;True;;;;;;;;;phys_deficiency_lo_kwh_yr;;;;;;;;;;True;;;True;;;;False;Unknown;;NOT_ASSESSABLE;;;False;;;;;;True;;
970979;physical_baseline_v1;2026-09-10T23:31:55Z;INCOMPLETE_AUDIT;never computed - required building data missing, see phys_no_result_reason;insufficient usable meter days;True;;;;;;;;;phys_deficiency_lo_kwh_yr;;;;;;;;;;True;;;True;;;;False;Unknown;;NOT_ASSESSABLE;;;False;;;;;;True;;
1141047;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;1991_2000;16.0;20.0;907.0;687.0;1228.0;541.0;phys_deficiency_lo_kwh_yr;39.6;30.0;53.6;907.0;0.0;0.0;0.0;0.0;0.0;True;3198.0;2291.0;True;T1;False;True;False;PV;468.0;SLOPE_EXCESS;123.0;5.0;True;0.845;heating curve too high;0.703;True;15.0;True;True;heating curve too high
